Country,Region,Happiness_Rank,Happiness_Score,Freedom,Family,Standard_Error,Trust(Government_Corruption),Health(Life_Expectancy),Economy(GDP_per_capita),Generosity,Dystopia_Residual,Whisker_high,Whisker_low,Lat,Lng
Japan,Eastern Asia,46,5.987,0.49615,1.25712,0.03581,0.1806,0.99111,1.27074,0.12057276815175999,1.36322355270386,5.99071944460273,5.8492807079851605,36.204824,138.252924
Jordan,Middle East and Northern Africa,82,5.192,0.40660999999999997,1.05392,0.045239999999999995,0.14293,0.69639,0.9019799999999999,0.17217046022415197,1.79117655754089,5.448410022407769,5.223589908927679,37.9973704,-97.3342624
Kazakhstan,Central and Eastern Europe,54,5.855,0.51649,1.1224100000000001,0.041139999999999996,0.08454,0.64368,1.1225399999999999,0.20196442306041698,1.7848925590515101,5.90364177465439,5.73435775995255,48.019573,66.923684
Kenya,Sub-Saharan Africa,125,4.419,0.42215,0.99876,0.04734,0.05839,0.41435,0.36471,0.444860309362411,1.6519021987915001,4.65569159060717,4.450308355987071,-0.023559,37.906193
Kosovo,Central and Eastern Europe,69,5.5889999999999995,0.24749000000000002,0.81198,0.05018,0.04741,0.63132,0.80148,0.319931447505951,2.0105407238006596,5.36484799548984,5.19315161541104,42.6026359,20.902977
Kuwait,Middle East and Northern Africa,39,6.295,0.55499,1.16594,0.04456,0.25609,0.72492,1.5542200000000002,0.228289797902107,1.64042520523071,6.1919569888711,6.01804304927588,29.31166,47.481766
Kyrgyzstan,Central and Eastern Europe,77,5.2860000000000005,0.43477,1.15115,0.03823,0.042319999999999997,0.65088,0.47428000000000003,0.42858037352562,1.5367231369018601,5.089919903129339,4.918080470710991,41.20438,74.766098
Laos,Southeastern Asia,99,4.876,0.59591,0.73803,0.06698,0.24249,0.54909,0.5906600000000001,,,,,19.85627,102.495496
Latvia,Central and Eastern Europe,89,5.098,0.29671,1.09562,0.0464,0.06332,0.72437,1.11312,0.153074786067009,1.9936552047729499,5.9202635382115805,5.77973627105355,56.879635,24.603189
Lebanon,Middle East and Northern Africa,103,4.8389999999999995,0.33916,0.80001,0.04337,0.04582,0.83947,1.0256399999999999,0.26445075869560203,1.69507384300232,5.31888228848577,5.1311175207793704,33.854721,35.862285
Lesotho,Sub-Saharan Africa,97,4.898,0.31767,1.04103,0.09437999999999999,0.12504,0.07612000000000001,0.37545,0.157497271895409,1.42983531951904,4.04434397548437,3.5716561999917,-29.609988,28.233608
Liberia,Sub-Saharan Africa,116,4.571000000000001,0.28531,0.78968,0.11068,0.06232000000000001,0.34201,0.0712,0.26654988527298,1.6732859611511202,3.6537562608718903,3.4122437238693197,6.428055,-9.429499000000002
Libya,Middle East and Northern Africa,63,5.754,0.41668,1.1186200000000002,0.07832,0.11023,0.7038,1.13145,0.15207366645336198,1.8350112438201898,5.6769538068771395,5.373046383857731,26.3351,17.228331
Lithuania,Central and Eastern Europe,56,5.832999999999999,0.21341999999999997,1.25745,0.03843,0.01031,0.73128,1.14723,0.010164656676352,2.22844052314758,5.982669641375541,5.82133025944233,55.169438,23.881275
Luxembourg,Western Europe,17,6.946000000000001,0.61583,1.21963,0.03499,0.37798000000000004,0.91894,1.5639100000000001,0.283180981874466,1.61951208114624,6.923686099871991,6.80231373228133,49.815273,6.129582999999999
Macedonia,Central and Eastern Europe,93,5.007,0.33457,1.00232,0.05376,0.053270000000000005,0.73545,0.91851,0.25376096367836,1.6174693107605,5.27217263966799,5.07782774180174,41.608635,21.745275
Madagascar,Sub-Saharan Africa,147,3.681,0.19184,0.66801,0.03633,0.08123999999999999,0.46721,0.20824,0.208732530474663,1.58461260795593,3.7143191058933698,3.57368100091815,-18.766947,46.869107
Malawi,Sub-Saharan Africa,131,4.292,0.43054,0.41134,0.0613,0.06977,0.22562,0.016040000000000002,0.28717046976089505,2.08178615570068,4.07747881740332,3.86252123981714,-13.254308,34.301525
Malaysia,Southeastern Asia,61,5.77,0.5302399999999999,1.07023,0.0433,0.10500999999999999,0.7239399999999999,1.12486,0.416608929634094,2.00444889068604,6.179979636520151,5.988020584732291,4.210484,101.975766
Mali,Sub-Saharan Africa,138,3.995,0.38856999999999997,1.03526,0.05602000000000001,0.12352,0.20583,0.26074,0.183354198932648,1.66819095611572,4.26967071101069,4.110329403430221,17.570692,-3.996166
Malta,Western Europe,37,6.3020000000000005,0.60365,1.30203,0.04206,0.13585999999999998,0.88721,1.2074,0.5747305750846861,1.55686283111572,6.598396772891281,6.455603127926589,35.937496,14.375416
Mauritania,Sub-Saharan Africa,124,4.436,0.24231999999999998,0.86908,0.03947,0.17461,0.35874,0.45407,0.201870024204254,1.65163731575012,4.37716361626983,4.20683601751924,21.00789,-10.940835
Mauritius,Sub-Saharan Africa,71,5.477,0.56066,0.98521,0.07197,0.07521,0.7095,1.0076100000000001,0.360933750867844,1.6975839138031,5.72986219167709,5.528138182163239,-20.348404,57.55215200000001
Mexico,Latin America and Caribbean,14,7.187,0.48181,0.91451,0.041760000000000005,0.21311999999999998,0.8144399999999999,1.02054,0.12099043279886199,2.8371548652648904,6.67114890769124,6.48485122963786,23.634501,-102.552784
Moldova,Central and Eastern Europe,52,5.888999999999999,0.32818,1.01528,0.037989999999999996,0.01615,0.61826,0.59448,0.20877912640571603,2.80780839920044,5.90837083846331,5.767628802955151,47.411631,28.369885
Mongolia,Eastern Asia,100,4.874,0.43626000000000004,1.3006,0.03313,0.026660000000000003,0.60268,0.82819,0.338464230298996,1.1112923622131299,5.021679509133099,4.88832033827901,46.862496,103.846656
Montenegro,Central and Eastern Europe,82,5.192,0.1826,0.9055700000000001,0.05235,0.14296,0.72521,0.9743799999999999,0.197911024093628,1.72919154167175,5.34104444056749,5.132955536544321,42.708678,19.37439
Morocco,Middle East and Northern Africa,92,5.013,0.41691000000000006,0.64095,0.0342,0.08546000000000001,0.60954,0.7347899999999999,0.0322099551558495,2.45618939399719,5.31834096476436,5.15165930226445,31.791702,-7.092619999999999
Mozambique,Sub-Saharan Africa,94,4.971,0.34037,1.02626,0.07896,0.15603,0.09131,0.08308,0.322228103876114,2.3556509017944305,4.774102326333519,4.3258980551362,-18.665695,35.529562
Myanmar,Southeastern Asia,129,4.3069999999999995,0.44017,0.70905,0.04351,0.19034,0.48246000000000006,0.27108000000000004,0.8380751609802249,1.11529040336609,4.61473994642496,4.47526020616293,21.916221,95.955974
Nepal,Southern Asia,121,4.513999999999999,0.38282,0.86449,0.03607,0.059070000000000004,0.5687399999999999,0.35996999999999996,0.39409616589546204,1.8912410736084,5.06735607936978,4.856643707007169,28.394857,84.12400799999999
Netherlands,Western Europe,7,7.377999999999999,0.6157600000000001,1.28017,0.027989999999999998,0.31814000000000003,0.89284,1.32944,0.47048982977867104,2.29480409622192,7.42742584124207,7.32657386884093,52.132633,5.291265999999999
New Zealand,Australia and New Zealand,9,7.2860000000000005,0.6393800000000001,1.3196700000000001,0.033710000000000004,0.42922,0.9083700000000001,1.2501799999999998,0.500005125999451,2.0464563369751,7.3795104418695,7.24848981752992,-40.900557,174.885971
Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.55475,1.14184,0.05371,0.19317,0.7431399999999999,0.59325,0.301674216985703,2.51393055915833,6.186583600342269,5.955416598021981,12.865416,-85.207229
Niger,Sub-Saharan Africa,144,3.845,0.47691999999999996,0.77265,0.036019999999999996,0.15639,0.29707,0.0694,0.22867384552955602,1.87398338317871,4.11194681972265,3.9440529361367203,17.607789,8.081666
Nigeria,Sub-Saharan Africa,78,5.268,0.34334000000000003,0.9043200000000001,0.04192,0.0403,0.16007000000000002,0.65435,0.23094719648361198,2.36539053916931,5.209500135481361,4.93849962800741,9.081999,8.675277
North Cyprus,Western Europe,66,5.695,0.49027,1.07008,0.05635,0.1428,0.92356,1.2080600000000001,0.266845703125,1.5491576194763201,5.89736646488309,5.722633420675991,35.2480359,33.6577243
